"","gene","MinExpr","MaxExpr","SD_logRPKM","Mean_logRPKM","Median_logRPKM","Q.25_logRPKM","Q.75_logRPKM","IQR_logRPKM","ShannonIndex","Kurtosis","Skewness","ZeroExpr_proportion","residual.SD_logRPKM","LOESS.fit","TP","gene_name","synonyms","gene_product","COG","regulator","uniprot","start","end","strand","essential","core_genome","iML1515","oxidizeME","DGF_strain","MS57","pseudogene","y_ome","k_eff","schmidt_prot_med","heckmann_prot_med","proteomics","p1k","p1k_ctrl_log_tpm","p1k_median_log_tpm","p1k_mad_log_tpm","in_iM","length"
"92","b0094",6.48327625692863,9.64470328021189,0.459596977076744,7.96698214723302,7.91689732756054,7.63783171718316,8.28370192276898,0.645870205585825,6.89706156337574,3.13914879550858,0.378468198699289,0,-0.413943565492975,0.873540542569719,0.497886126528586,"ftsA","ftsA;divA","cell division protein FtsA","Cell cycle control, cell division, chromosome partitioning","RpoD,RpoS,LexA,MraZ,PdhR,RcsB,SdiA,ppGpp","P0ABH0",103982,105244,"+","True","False","False","False","True","True","False","False","True",533,498,"True","True",7.0091422785,7.501253774,0.482813545514998,"False",1263
"93","b0095",7.96321723847956,11.0070526290383,0.410625906976989,9.58585505411411,9.57361260587092,9.32594620167498,9.79714805868396,0.471201857008976,6.89779804084101,3.92739320304113,0.0903089990747272,0,-0.466945919348821,0.87757182632581,0.44488377267274,"ftsZ","ftsZ;sfiB;sulB","cell division protein FtsZ","Cell cycle control, cell division, chromosome partitioning","RpoD,dicF,RpoS,LexA,MraZ,PdhR,RcsB,SdiA,ArgR,ppGpp","P0A9A6",105305,106456,"+","True","False","False","False","True","True","False","False","True",4342,2650,"True","True",9.265014073,9.155345431,0.448002186470999,"False",1152
"94","b0096",7.9879828769705,13.3073248200449,0.5707039191648,10.7908696000239,10.7539337424387,10.4487592263294,11.0290970205624,0.580337794233065,6.8973295540038,5.68585449224776,0.641601480245369,0,-0.314463660498066,0.885167579662866,0.597366031523495,"lpxC","lpxC;asmB;envA","UDP-3-O-acyl-N-acetylglucosamine deacetylase","Cell wall/membrane/envelope biogenesis","RpoD,LexA,MraZ,PdhR","P0A725",106557,107474,"+","True","True","True","True","True","True","False","False","True",112,180,"True","True",9.7077652025,10.29018819,0.37050174,"True",918
"95","b0097",5.43545479228089,10.1458344928437,0.440743252442098,8.35670069832495,8.29675081845901,8.05505785919379,8.61503864084404,0.55998078165025,6.89732258498569,4.91308700754541,0.0388849189439374,0,-0.435579077767082,0.87632233020918,0.476250614254479,"secM","secM;srrA;yacA","SecA translation regulator","Function unknown","","P62395",107705,108217,"+","True","False","False","False","True","True","False","False","False",NA,NA,"False","True",8.89028317,7.88716463606839,0.396372623808592,"False",513
"96","b0098",7.01259810802875,9.63460077946246,0.507533613227498,8.14695018150882,8.10232832281185,7.79972512118254,8.43256782629702,0.632842705114486,6.89679483343742,3.19633879855831,0.563169755105055,0,-0.367916368524585,0.875449981752082,0.543913323496976,"secA","secA;azi;pea;prlD","protein translocation ATPase","Intracellular trafficking, secretion, and vesicular transport","","P10408",108279,110984,"+","True","False","False","True","True","True","False","False","True",686,1485,"True","True",7.651831151,7.681890678,0.335223691093201,"False",2706
"97","b0099",1.34090473584123,7.85868253384175,0.964446545935557,5.13748549472555,5.02892646680033,4.48002213887395,5.70433314233462,1.22431100346068,6.88115848323725,3.50012488445631,0.390005574467259,0,-0.0181035847753861,0.982550130710944,0.893726107246175,"mutT","mutT","8-oxo-dGTP diphosphatase","Replication, recombination and repair","","P08337",111044,111433,"+","False","False","True","True","True","True","False","False","False",NA,NA,"False","True",4.503869365,4.61401188,0.8245275790458,"False",390
"98","b0101",1.90683087291868,9.03017188185205,0.898662817192259,6.96123559796052,7.17624435862253,6.78800778321185,7.47760780049657,0.68960001728472,6.8893829078442,7.95390202963455,-2.05524564856011,0,0.0162615295343225,0.882401287657936,0.928091221555884,"yacG","yacG","DNA gyrase inhibitor YacG","Function unknown","","P0A8H8",111649,111846,"-","False","False","False","False","True","True","False","False","False",49.5,NA,"True","True",6.748642904,6.729964543,0.6285350496558,"False",198
"99","b0102",4.02445765049678,7.94537878783318,0.491482466597818,6.92419130249871,6.99171574205463,6.64193959720999,7.25767850737946,0.615738910169462,6.89610567017544,6.73881077138129,-1.26112196373031,0,-0.391819214872374,0.883301681470192,0.520010477149187,"zapD","zapD;yacF","cell division factor ZapD","Cell cycle control, cell division, chromosome partitioning","","P36680",111856,112599,"-","False","False","False","False","True","True","False","False","True",267.5,371,"True","True",6.9094037175,6.538058172,0.544116013219801,"False",744
"100","b0103",4.83281246370499,7.90892119505664,0.493387025399693,6.72431026160547,6.77121389380504,6.43403606668698,7.05748474986581,0.623448683178831,6.89597980820464,3.59499196787305,-0.550486552666638,0,-0.395558000756594,0.888945026156287,0.516271691264967,"coaE","coaE;yacE","dephospho-CoA kinase","Nucleotide transport and metabolism","YqhC,YneJ","P0A6I9",112599,113219,"-","False","False","True","True","True","True","False","False","False",54,NA,"True","True",6.769884246,6.281651627,0.5684538855618,"False",621
"101","b0104",4.92591241351378,10.0870189358117,0.832686245131476,8.34466626423015,8.50972962372988,7.81255457367531,8.98478560401988,1.17223103034457,6.89356388731017,3.37500471591235,-0.874783830906494,0,-0.0436504431363973,0.876336688267873,0.868179248885164,"guaC","guaC","GMP reductase","Nucleotide transport and metabolism","YiaU","P60560",113444,114487,"+","False","False","True","True","True","True","False","False","True",965.5,1352,"True","True",8.8614683545,8.109765649,0.812679861508201,"False",1044
"102","b0106",1.23230902017615,4.49118898905751,0.410085176289337,2.87671429384957,2.85603286937543,2.62171079318029,3.07330627525779,0.451595482077502,6.88858761699707,4.79464192269138,0.393892825050565,0,-0.525711988947119,0.935797165236457,0.386117703074442,"hofC","hofC;hopC;yacD","inner membrane protein HofC","Intracellular trafficking, secretion, and vesicular transport","RpoD,Crp,Nac","P36646",114522,115724,"-","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",2.326886012,2.464637041,0.3692301895926,"False",1203
"103","b0107",1.85976019697005,5.50937520170623,0.59193989635225,3.27704659757632,3.16909314679688,2.89108566165551,3.55209280174413,0.661007140088618,6.88303189117449,3.94879979838938,0.928328584331155,0,-0.371400618941162,0.963340515293411,0.540429073080399,"hofB","hofB;hopB","T2SSE family protein","Cell motility","RpoD,YdcN,Crp","P36645",115714,117099,"-","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",2.62730734,2.81993621399527,0.530135076497662,"False",1386
"104","b0108",0,5.49313423490956,1.00807441253795,1.23979619103637,1.04555682578145,0.614483595711132,1.55313865717507,0.938655061463939,6.57019754592388,5.15597899324213,1.3855358863364,0.130171543895056,0.206467726048459,0.801606686489487,1.11829741807002,"ppdD","ppdD","prepilin peptidase-dependent protein","Cell motility","RpoD,Crp","P36647",117109,117549,"-","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",0.871956041,0.864228413,0.613705369552019,"False",441
"105","b0109",5.04974378675316,8.13589895491636,0.434026098692056,6.85119637631867,6.90080180688021,6.60901685008763,7.10738029539166,0.498363445304022,6.89668072725062,4.15144268877834,-0.549503830896341,0,-0.451145081812589,0.885171180504645,0.460684610208972,"nadC","nadC","quinolinate phosphoribosyltransferase (decarboxylating)","Nucleotide transport and metabolism","Crp,Nac","P30011",117752,118645,"-","False","False","True","True","True","True","False","False","True",513.5,365,"True","True",6.928161329,6.432745048,0.402542598523798,"False",894
"106","b0110",4.7835787451459,8.4250100417206,0.499520819903045,6.2799532356966,6.22752272546855,5.96492539920888,6.55028414506115,0.585358745852271,6.89559677852809,4.44749520668058,0.672160822894229,0,-0.410104190130107,0.909625010033151,0.501725501891454,"ampD","ampD","1%2C6-anhydro-N-acetylmuramoyl-L-alanine amidase","Defense mechanisms","YfeD,Crp,ppGpp,Nac","P13016",118733,119284,"+","False","False","True","True","True","True","False","False","False",NA,NA,"False","True",5.794527153,5.84832242808304,0.514631928171122,"False",552
"107","b0111",3.83127848141148,8.02212794540084,0.540135710974003,5.60462309222067,5.51674238019965,5.25984402857087,5.86192038537048,0.602076356799609,6.89417439987614,4.83482991075051,0.87686885012424,0,-0.412860942781157,0.952996653755161,0.498968749240404,"ampE","ampE","protein AmpE","Defense mechanisms","Crp","P0AE14",119281,120135,"+","False","False","False","False","True","True","False","True","False",3,NA,"True","True",4.9961403195,5.113983096,0.5219618372136,"False",855
"108","b0112",4.26767229470087,11.039687337038,1.1558309410197,8.776585377009,9.12675451407094,8.59807023370034,9.46810083783397,0.870030604133632,6.88914007464348,6.3323060302664,-1.83428036818282,0,0.279968979622227,0.875861961397474,1.19179867164379,"aroP","aroP","aromatic amino acid:H(+) symporter AroP","Intracellular trafficking, secretion, and vesicular transport","RpoD,Cra,TyrR,ArgR,Fnr,GlaR","P15993",120178,121551,"-","False","False","True","True","True","True","False","False","True",103,963,"True","True",9.3441511505,8.737431557,0.551530717046636,"True",1374
"109","b0113",0,11.4736229360374,1.37392391884451,7.87983877228084,8.06718041627486,7.32050196585483,8.72872836329884,1.40822639744401,6.87841929273348,12.4001970595108,-2.07673298919051,0.00807265388496468,0.501384174054946,0.872539744789563,1.41321386607651,"pdhR","pdhR;aceC;genA;yacB","DNA-binding transcriptional dual regulator PdhR","Transcription","RpoD,RpoS,Fnr,Crp,Cra,PdhR,GlaR,OmpR,BtsR","P0ACL9",122092,122856,"+","False","False","False","False","True","True","False","False","False",50,NA,"True","True",7.947651277,7.61579903,0.985350774139201,"True",765
"110","b0114",7.85698293302423,13.2118873465073,0.802658793250125,10.6152560738715,10.6390772873365,10.1261864788048,11.1357002884032,1.0095138095984,6.89584369546138,3.74993297902042,-0.0645703789348659,0,-0.0810991244743891,0.883757917724514,0.830730567547172,"aceE","aceE","pyruvate dehydrogenase E1 component","Nucleotide transport and metabolism","RpoD,RpoS,Fnr,NsrR,Crp,Cra,ArcA,PdhR,BtsR","P0AFG8",123017,125680,"+","False","False","True","True","True","True","False","False","True",5547,7171,"True","True",10.012647263,10.14869815,0.757022950322852,"True",2664
"111","b0115",6.56081111956677,12.9192088097615,0.859329518445194,10.1694389044555,10.2153075899625,9.62972655814523,10.6758032182157,1.04607666007051,6.89511948564133,3.74203334236275,-0.118710004442053,0,-0.0212779681195006,0.880607486564695,0.89055172390206,"aceF","aceF","pyruvate dehydrogenase%2C E2 subunit","Nucleotide transport and metabolism","RpoD,RpoS,Fnr,NsrR,Crp,Cra,ArcA,PdhR,BtsR","P06959",125695,127587,"+","False","False","True","True","True","True","False","False","True",7531,7090,"True","True",9.3752543285,9.734817117,0.806487198463798,"True",1893
"112","b0116",7.94856820808535,13.1173932871661,0.691130286382136,10.7729591946185,10.8079325670599,10.4303213958002,11.1874193424352,0.757097946635083,6.89663286544342,4.50627758979352,-0.435110241271891,0,-0.19388953635138,0.885019822733517,0.717940155670181,"lpd","lpdA;lpd","lipoamide dehydrogenase","Nucleotide transport and metabolism","RpoD,RpoS,Fur,Fnr,Crp,Cra,ArcA,PdhR,Fis,BtsR","P0A9P0",127912,129336,"+","False","False","True","True","True","True","False","False","True",12070,8622,"True","True",10.717942605,10.39672909,0.578133124169999,"False",1425
"113","b0117",0.368058782165774,5.09337811123476,0.645436993755371,1.84039241071971,1.74696883052304,1.40411628782938,2.12910194060849,0.724985652779108,6.84032281537433,4.70345463852486,1.02672663175439,0,-0.209557568523234,0.854994562278605,0.702272123498327,"yacH","yacH","DUF3300 domain-containing protein YacH","Cell wall/membrane/envelope biogenesis","","P36682",129407,131260,"-","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",1.7867792245,1.465379191,0.5814218882766,"True",1854
"114","b0118",7.15173612752059,12.9076266409437,0.929881622096026,10.0605812433996,10.0844784798676,9.46703622784069,10.714960857779,1.24792462993836,6.894401772596,3.06934216823563,-0.198629350406087,0,0.0499403371116495,0.879941284984376,0.961770029133211,"acnB","acnB;yacI;yacJ","hypothetical protein","Energy production and conversion","RpoD,ryhB,Fis,Crp,Cra,ArcA,AcnB","P36683",131615,134212,"+","False","False","True","True","True","True","False","False","True",13758,5947,"True","True",10.682589945,9.6167907,1.0149561522996,"True",2598
"115","b0119",4.78392279134309,10.5332842158372,0.839333982734892,6.84865737260077,6.78156932936394,6.23682726185342,7.25752976777793,1.02070250592451,6.89142589480521,4.91554647552534,0.956715505687028,0,-0.0459053024227343,0.885239285157626,0.865924389598827,"yacL","yacL","UPF0231 family protein YacL","Function unknown","Lrp,cyaR","P0A8E5",134388,134750,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",7.107465442,6.366923941,0.77024488696137,"True",363
"116","b0120",5.8172831893092,10.3172616032261,0.839873362862296,8.44854534488933,8.45880774707432,7.8781117369044,9.07305960996243,1.19494787305803,6.89371204928611,2.65413060343995,-0.264928554820507,0,-0.0362646677684653,0.876138030630761,0.875565024253096,"speD","speD","S-adenosylmethionine decarboxylase proenzyme","Nucleotide transport and metabolism","RpoD","P0A7F6",134788,135582,"-","False","False","True","True","True","True","False","False","True",806.5,502,"True","True",8.686985131,8.035350392,0.826239879746401,"False",795
"117","b0121",6.11886286088367,10.138604162744,0.754726998745395,8.36908642157178,8.41549450285838,7.88775508447276,8.88359422402884,0.995839139556083,6.89460106036735,2.86554615073297,-0.283643207186089,0,-0.121570716025632,0.876297714771027,0.790258975995929,"speE","speE","spermidine synthase","Amino acid transport and metabolism","RpoD","P09158",135598,136464,"-","False","False","True","True","True","True","False","False","True",501.5,673,"True","True",8.6899866625,7.9787161252511,0.719437966986326,"False",867
"118","b0122",0,10.4698214224305,0.899041626423919,7.65516927695874,7.51379016953445,7.05876669906684,8.06993005550818,1.01116335644134,6.89144866307999,8.38462391017914,0.0233267473119464,0.00100908173562059,0.0283521661702157,0.870689460253703,0.940181858191777,"yacC","yacC","putative lipoprotein YacC","Function unknown","RpoD","P0AA95",136570,136917,"-","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",7.522766606,7.160245682,0.7240011581166,"False",348
"119","b0123",4.10629547382516,10.765242765489,1.35013311972523,7.24055537553368,7.37067881284114,6.22824605429715,8.01009750823404,1.78185145393689,6.88115125794663,2.5973884339331,0.0636093488641385,0,0.474750751500539,0.875382368224692,1.3865804435221,"cueO","cueO;yacK","cuprous oxidase/multicopper oxidase with role in copper homeostasis","Secondary metabolites biosynthesis, transport, and catabolism","ryhB,CueR","P36649",137083,138633,"+","False","False","True","True","True","True","False","False","True",690.5,797,"True","True",7.5006085735,6.926969354,1.220090755044,"True",1551
"120","b0124",1.90546946723052,10.9938497491378,1.47972823154504,6.79911235774899,6.75790092478619,5.9135202014485,7.78594556163142,1.87242536018293,6.87404190024403,3.03296721380738,-0.190766706159796,0,0.593106584330736,0.886621647214302,1.5049362763523,"gcd","gcd","quinoprotein glucose dehydrogenase","Carbohydrate transport and metabolism","RpoD,Crp,IHF","P15877",138835,141225,"-","False","False","True","True","True","True","False","False","True",62.5,322,"True","True",7.181456225,6.413057512,1.45175951390613,"True",2391
"121","b0125",5.73042963245427,9.81489874016585,0.648685442050114,8.13798396369165,8.21295391759143,7.80711389817715,8.53201621606719,0.724902317890042,6.89545292607052,4.19578130977827,-0.856368182736879,0,-0.2266854506978,0.875370892747914,0.685144241323761,"hpt","hpt","hypoxanthine phosphoribosyltransferase","Nucleotide transport and metabolism","RpoD,Crp,IHF","P0A9M2",141431,141967,"+","False","False","True","True","True","True","False","False","True",761.5,454,"True","True",8.0673233405,7.81118086153496,0.422731520823526,"False",537
"122","b0126",6.4039700485439,12.0527413625158,0.898371189437263,9.93231748305848,10.1532586117922,9.23649513002253,10.5710953675091,1.33460023748661,6.89453866672082,3.00714944898917,-0.574987064409535,0,0.0191583726317371,0.879212816805526,0.930988064653298,"can","can;cynT2;yadF","carbonic anhydrase 2","Inorganic ion transport and metabolism","RpoD,RpoH,Lrp","P61517",142008,142670,"-","True","False","True","True","True","True","False","False","True",2494,1944,"True","True",10.56966187,9.64117341603709,0.976732734595414,"False",663
"123","b0127",4.55378434807326,8.31178610267193,0.506795318508135,6.75210041817507,6.67402067454556,6.45264649086921,6.95485592877414,0.502209437904932,6.89594413764001,4.17896687331369,0.770047628067964,0,-0.381248656760805,0.88804397526894,0.530581035260756,"yadG","yadG","putative ABC transporter ATP-binding protein YadG","Defense mechanisms","","P36879",142779,143705,"+","False","False","False","False","True","True","False","True","True",183.5,297,"True","True",6.281950568,6.280724865,0.395236314589199,"False",927
"124","b0128",4.89207287648103,8.72838392304088,0.576328771145563,6.49289118194408,6.43568094788308,6.13572589057281,6.76529136083172,0.629565470258911,6.89484247564409,4.44369704836384,0.725302290345212,0,-0.322528174455824,0.898856945601387,0.589301517565737,"yadH","yadH","putative ABC transporter membrane subunit YadH","Defense mechanisms","","P0AFN6",143702,144472,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",5.4922880115,5.98291304538619,0.465822546820362,"False",771
"125","b0129",2.62455279485019,9.67812395203815,0.943815340344955,5.40231267117098,5.26200779196789,4.64081761380829,6.11084998928618,1.47003237547789,6.88381624322945,3.64586905806422,0.661698701468583,0,-0.0239013504251661,0.967716690770121,0.887928341596395,"yadI","yadI","putative PTS enzyme IIA component YadI","Carbohydrate transport and metabolism","","P36881",144577,145017,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",4.140941091,4.840126709,0.990149724984,"True",441
"126","b0130",2.9657886107545,6.71906187859219,0.683636315762192,4.41417046781055,4.29001868286502,3.92629523356779,4.8495890503213,0.92329381675351,6.8870117934742,3.30269677878625,0.675855052844693,0,-0.326074215444711,1.0097105312069,0.58575547657685,"yadE","yadE","putative polysaccharide deacetylase lipoprotein","Carbohydrate transport and metabolism","","P31666",145081,146310,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",3.694759575,3.89757263,0.728898596823925,"False",1230
"127","b0131",5.85456375879074,11.4479314151985,1.04794166791716,9.43240686423,9.61182965590748,8.84178648032747,10.2158501107255,1.37406363039803,6.89236773096604,2.75865994929716,-0.623000097177309,0,0.170933610139008,0.877008057778149,1.08276330216057,"panD","panD","aspartate 1-decarboxylase proenzyme","Coenzyme transport and metabolism","RpoD,YfeC,gcvB","P0A790",146314,146694,"-","False","False","True","True","True","True","False","False","True",376,940,"True","True",9.8488764725,9.193281172,1.0693731809754,"True",381
"128","b0132",1.95194279568015,9.15805743955596,1.02972744504523,4.04613423697788,3.77428524796369,3.34028241116909,4.63660810586612,1.29632569469703,6.8688448965585,6.80027706347589,1.48681351248326,0,0.02692458000278,1.00280286504245,0.938754272024341,"rpnC","rpnC;yadD","recombination-promoting nuclease RpnC","Replication, recombination and repair","","P31665",146968,147870,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",2.91642324,3.440300912,0.801302453229358,"True",903
"129","b0133",6.99032478303913,10.6079859330009,0.592542537500688,8.89087010847505,9.04729999447359,8.49086509163529,9.30338466432653,0.812519572691244,6.89646185626506,2.88309457597772,-0.590333727176617,0,-0.283362321419093,0.875904858919781,0.628467370602468,"panC","panC","pantothenate synthetase","Coenzyme transport and metabolism","RpoD","P31663",147944,148795,"-","False","False","True","True","True","True","False","False","True",1180.5,1125,"True","True",8.26360412,8.599884995,0.576702173236594,"False",852
"130","b0134",6.52198917223641,10.433809586893,0.610835375967028,8.44013529810125,8.50572696954182,8.06242465055304,8.8635005983692,0.801075947816164,6.89606999231604,3.43450273222552,-0.319996260727963,0,-0.265317798696447,0.876153174663475,0.646511893325114,"panB","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","Coenzyme transport and metabolism","RpoD,YidZ","P31057",148807,149601,"-","False","False","True","True","True","True","False","False","True",2180.5,1983,"True","True",8.18009408,8.107435453,0.598766896504605,"False",795
"131","b0135",0.410521418616505,4.92686179777166,0.658709071442403,2.36729949676944,2.38554030868747,1.92739444746906,2.7809059418438,0.853511494374739,6.85826830510183,3.28742005680663,0.0351093589198462,0,-0.236280457670174,0.894989529112577,0.675549234351387,"yadC","yadC","fimbrial tip-adhesin YadC","Cell motility","Nac","P31058",149715,150953,"-","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",1.766294647,2.044089421,0.6389834285268,"False",1239
"132","b0136",0,5.33689723736539,0.685532062421255,1.98592828336885,2.00689659053503,1.55642482840948,2.40544308143714,0.849018253027661,6.83243671350801,3.90696334580423,0.0498931625942936,0.0100908173562059,-0.181168128568702,0.866700190989957,0.730661563452859,"yadK","yadK","putative fimbrial protein YadK","Cell motility","ppGpp","P37016",151003,151599,"-","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",1.150196053,1.685816753,0.6454921033134,"False",597
"133","b0137",0,4.89163834184835,0.647011281987266,2.35770412276655,2.39142970559685,1.94020062716426,2.76515596995224,0.824955342787977,6.85810338629889,3.50145324297296,-0.11839726665818,0.00302724520686176,-0.247237007152368,0.894248289139635,0.664592684869193,"yadL","yadL","putative fimbrial protein YadL","Cell motility","YddM","P37017",151626,152231,"-","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",1.7989252525,2.039087192,0.6971173769154,"False",606
"134","b0138",0,5.33650263749325,0.738097478381805,2.28901806451726,2.3282444300268,1.8108407570432,2.76891188555614,0.958071128512942,6.84284123557405,3.39663190641491,-0.018615633088245,0.00100908173562059,-0.150936068245486,0.889033546627291,0.760893623776075,"yadM","yadM","putative fimbrial protein YadM","Cell motility","Nac","P37018",152243,152812,"-","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",1.694027146,2.004563984,0.790188501895997,"True",570
"135","b0139",0.11802552470897,4.1725299049519,0.583664993067594,1.89581240010417,1.91057836906823,1.46799607581122,2.27242957249139,0.804433496680166,6.85016351057922,3.07808718894018,0.250877892085949,0,-0.275865434182122,0.859530427249716,0.635964257839439,"htrE","htrE","putative fimbrial usher protein HtrE","Cell wall/membrane/envelope biogenesis","RpoD,RpoS,IHF,Lrp,Nac,GlaR","P33129",152829,155426,"-","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",1.19014417,1.58186762784135,0.602598735610188,"False",2598
"136","b0140",0,4.21149219568356,0.602530494986738,0.937935328014326,0.883108361593754,0.563366323882349,1.23123843564834,0.667872111765996,6.67601885379741,5.65517466737092,1.08041255973127,0.0877901109989909,-0.171048751324225,0.773579246310963,0.740780940697336,"yadV","yadV;ecpD","putative fimbrial chaperone YadV","Cell wall/membrane/envelope biogenesis","RpoD,RpoS,IHF,ppGpp","P33128",155461,156201,"-","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",0.372870303,0.688797929,0.4439307504114,"False",741
"137","b0141",0,5.6881638952088,0.856043706400724,1.11915173934891,0.955158778271682,0.596214611417817,1.417574616287,0.821360004869184,6.62139955880572,6.94390547221999,1.66690274262094,0.0867810292633703,0.0656474753909341,0.79039623100979,0.977477167412495,"yadN","yadN","putative fimbrial protein YadN","Cell motility","GlaR","P37050",156299,156883,"-","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",0.8066174935,0.77246111,0.5275929625428,"False",585
"138","b0142",0.887216697083807,7.63603715645581,1.00081502735684,5.70434128057139,5.90262895260693,5.21627333652374,6.40142178965634,1.18514845313261,6.88174105091956,4.73013401670101,-1.12885905476935,0,0.0561810186459607,0.94463400871088,0.968010710667522,"folK","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","Coenzyme transport and metabolism","RpoD,RpoS,DksA,ppGpp","P26281",157253,157732,"-","True","False","True","True","True","True","False","False","False",NA,NA,"False","True",6.459804747,5.53662881,0.699006330888601,"True",480
"139","b0143",4.96310177858518,9.58158310934858,0.731489193718881,8.11017087876692,8.22643688993294,7.70269235888101,8.61374313057114,0.911050771690123,6.89451319578298,4.13778675905859,-0.911282096368715,0,-0.14362158485032,0.875110778569201,0.768208107171241,"pcnB","pcnB","poly(A) polymerase I","Nucleotide transport and metabolism","RpoD,RpoS,ppGpp,DksA","P0ABF1",157729,159126,"-","False","False","False","False","True","True","False","False","True",33.5,329,"True","True",8.5871579905,7.861932412,0.503855559509399,"True",1398
"140","b0144",1.8713542972236,7.03521098658705,0.734713225398069,5.07048208907446,5.12031525609349,4.64983186010675,5.56486254771243,0.915030687605685,6.88758177580342,4.93875812339635,-0.795227282808774,0,-0.251002765014655,0.985715990412724,0.660826927006906,"gluQ","gluQ;yadB","glutamyl-Q tRNA(Asp) synthetase","Translation, ribosomal structure and biogenesis","RpoD,ppGpp,DksA","P27305",159186,160112,"-","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",5.230140399,4.695836867,0.7154489223462,"False",927
"141","b0145",8.67508922462897,12.1296861795498,0.517161625316398,10.2432980007399,10.2337139634314,9.90086627469555,10.5507550904865,0.649888815790995,6.89744315463212,3.44818074222444,0.172515669222614,0,-0.363922016093142,0.881083641409541,0.547907675928419,"dksA","dksA","RNA polymerase-binding transcription factor DksA","Signal transduction mechanisms","RpoD,Crp,DksA,ppGpp","P0ABS1",160149,160604,"-","False","False","False","False","True","True","False","False","True",5605.5,1474,"True","True",10.15842221,9.823208029,0.431473666482599,"False",456
"142","b0146",5.12489394728646,10.6628975074901,0.863845387702885,6.91409051203601,6.83488999749856,6.28542630803586,7.33944825817987,1.05402195014401,6.89122485202502,5.72285738806605,1.24254349082967,0,-0.0197063392103736,0.883551726913258,0.892123352811187,"sfsA","sfsA;sfs1","putative DNA-binding transcriptional regulator of maltose metabolism","Transcription","RpoD,Crp","P0A823",160782,161486,"-","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",5.7955106525,6.457788775,0.785781921477,"True",705
"143","b0147",2.82072091246606,7.16173167074075,0.673070875619611,5.04004206492548,5.19891001817783,4.62010315708357,5.50715568171938,0.887052524635811,6.88945536135114,3.31536991274657,-0.633186017969671,0,-0.314024057718315,0.987094933337926,0.597805634303246,"thpR","thpR;ligT;yadP","RNA 2'%2C3'-cyclic phosphodiesterase","Translation, ribosomal structure and biogenesis","","P37025",161501,162031,"-","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",5.5407475105,4.74104104049143,0.695104171438001,"False",531
"144","b0148",4.09865726641213,7.15829723970554,0.365691869889998,5.29104777247195,5.31246468888245,5.10628934161903,5.50168465452547,0.395395312906441,6.8963247911803,4.96641998527396,0.0985603748399573,0,-0.608774794002612,0.97446666389261,0.303054898018949,"hrpB","hrpB;yadO","putative ATP-dependent RNA helicase HrpB","Replication, recombination and repair","","P37024",162105,164534,"+","False","False","False","False","True","True","False","True","True",NA,414,"True","True",4.954295095,4.845262823,0.453263967970801,"False",2430
"145","b0149",4.77358747715387,9.82111597491448,0.488211344896367,6.40955735218085,6.42680247320364,6.179551543916,6.65248539207153,0.472933848155527,6.89588169970895,12.2043270014327,1.26924057573834,0,-0.414932389668662,0.90314373456503,0.496897302352899,"mrcB","mrcB;pbpF;ponB","peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB","Cell wall/membrane/envelope biogenesis","","P02919",164730,167264,"+","False","False","True","True","True","True","False","False","True",101,321,"True","True",5.971312147,5.960015908,0.5034392498772,"False",2535
"146","b0150",0,10.5316984628128,2.66536974151661,7.18881997994353,8.22830203962654,6.82230001505229,8.76871222365629,1.946412208604,6.78133344699333,5.39168009537256,-1.8427943230445,0.0978809283551968,1.78854096462304,0.876828776893568,2.7003706566446,"fhuA","fhuA;tonA","ferrichrome outer membrane transporter/phage receptor","Inorganic ion transport and metabolism","RpoD,Fur","P06971",167484,169727,"+","False","False","True","True","False","False","False","False","True",867,1722,"True","True",8.262623096,7.689583812,1.2817062426042,"True",2244
